ID,Resolution,WSI,Node,Class,Image_path,Label
17517,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_31.jpg,1
17518,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_47.jpg,1
17519,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_6.jpg,1
17520,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_82.jpg,1
17521,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_15.jpg,1
17522,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_58.jpg,1
17523,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_92.jpg,1
17524,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_28.jpg,1
17525,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_77.jpg,1
17526,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_105.jpg,1
17527,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_46.jpg,1
17528,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_44.jpg,1
17529,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_36.jpg,1
17530,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_81.jpg,1
17531,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_3.jpg,1
17532,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_54.jpg,1
17533,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_12.jpg,1
17534,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_104.jpg,1
17535,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_55.jpg,1
17536,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_80.jpg,1
17537,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_17.jpg,1
17538,10x,N009915-13.14-2022-03-13_21_02_26,N009915-13.14-2022-03-13_21_02_26-node-2,ffpe_micro,CRC-LN_patch_use/micro-10X/N009915-13.14-2022-03-13_21_02_26/node-2/x=112115_y=38240_w=3182_h=2394/patch_25.jpg,1
