,ID,Center,Resolution,WSI,Node,Class,Image_path
55,56,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_38.jpg
56,57,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_26.jpg
57,58,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_28.jpg
58,59,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_11.jpg
59,60,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_36.jpg
60,61,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_12.jpg
61,62,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_21.jpg
62,63,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_34.jpg
63,64,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_18.jpg
64,65,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_29.jpg
65,66,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_27.jpg
66,67,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_13.jpg
67,68,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_20.jpg
