ID,Center,Resolution,WSI,Node,Class,Image_path,Label
56,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_38.jpg,1
57,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_26.jpg,1
58,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_28.jpg,1
59,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_11.jpg,1
60,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_36.jpg,1
61,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_12.jpg,1
62,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_21.jpg,1
63,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_34.jpg,1
64,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_18.jpg,1
65,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_29.jpg,1
66,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_27.jpg,1
67,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_13.jpg,1
68,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_20.jpg,1
69,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_30.jpg,1
70,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_35.jpg,1
71,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_37.jpg,1
72,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_19.jpg,1
