ID,Center,Resolution,WSI,Node,Class,Image_path,Label
1101,nandafuyi,10x,10-X125877-10X,10-X125877-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/10-X125877-10X/patch_12.jpg,1
1102,nandafuyi,10x,10-X125877-10X,10-X125877-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/10-X125877-10X/patch_18.jpg,1
1103,nandafuyi,10x,10-X125877-10X,10-X125877-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/10-X125877-10X/patch_13.jpg,1
1104,nandafuyi,10x,10-X125877-10X,10-X125877-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/10-X125877-10X/patch_19.jpg,1
1105,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_38.jpg,1
1106,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_31.jpg,1
1107,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_47.jpg,1
1108,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_8.jpg,1
1109,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_26.jpg,1
1110,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_28.jpg,1
1111,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_46.jpg,1
1112,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_1.jpg,1
1113,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_11.jpg,1
1114,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_17.jpg,1
1115,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_25.jpg,1
1116,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_21.jpg,1
1117,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_45.jpg,1
1118,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_16.jpg,1
1119,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_34.jpg,1
1120,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_18.jpg,1
1121,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_29.jpg,1
1122,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_42.jpg,1
1123,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_27.jpg,1
1124,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_20.jpg,1
1125,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_39.jpg,1
1126,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_35.jpg,1
1127,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_19.jpg,1
1128,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_10.jpg,1
1129,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_33.jpg,1
1130,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_41.jpg,1
1131,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_32.jpg,1
1132,nandafuyi,10x,6-X155926-10X,6-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/6-X155926-10X/patch_2.jpg,1
1133,nandafuyi,10x,3-X194337-10X,3-X194337-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/3-X194337-10X/patch_44.jpg,1
1134,nandafuyi,10x,3-X194337-10X,3-X194337-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/3-X194337-10X/patch_36.jpg,1
1135,nandafuyi,10x,3-X194337-10X,3-X194337-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/3-X194337-10X/patch_3.jpg,1
1136,nandafuyi,10x,3-X194337-10X,3-X194337-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/3-X194337-10X/patch_45.jpg,1
1137,nandafuyi,10x,3-X194337-10X,3-X194337-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/3-X194337-10X/patch_37.jpg,1
1138,nandafuyi,10x,8-X148792-10X,8-X148792-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/8-X148792-10X/patch_11.jpg,1
1139,nandafuyi,10x,8-X148792-10X,8-X148792-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/8-X148792-10X/patch_12.jpg,1
1140,nandafuyi,10x,8-X148792-10X,8-X148792-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/8-X148792-10X/patch_21.jpg,1
1141,nandafuyi,10x,8-X148792-10X,8-X148792-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/8-X148792-10X/patch_29.jpg,1
1142,nandafuyi,10x,8-X148792-10X,8-X148792-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/8-X148792-10X/patch_20.jpg,1
1143,nandafuyi,10x,8-X148792-10X,8-X148792-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/8-X148792-10X/patch_30.jpg,1
1144,nandafuyi,10x,8-X148792-10X,8-X148792-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/8-X148792-10X/patch_22.jpg,1
1145,nandafuyi,10x,4-X196972-10X,4-X196972-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/4-X196972-10X/patch_28.jpg,1
1146,nandafuyi,10x,4-X196972-10X,4-X196972-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/4-X196972-10X/patch_29.jpg,1
1147,nandafuyi,10x,4-X196972-10X,4-X196972-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/4-X196972-10X/patch_20.jpg,1
1148,nandafuyi,10x,7-X155926-10X,7-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/7-X155926-10X/patch_26.jpg,1
1149,nandafuyi,10x,7-X155926-10X,7-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/7-X155926-10X/patch_28.jpg,1
1150,nandafuyi,10x,7-X155926-10X,7-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/7-X155926-10X/patch_36.jpg,1
1151,nandafuyi,10x,7-X155926-10X,7-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/7-X155926-10X/patch_34.jpg,1
1152,nandafuyi,10x,7-X155926-10X,7-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/7-X155926-10X/patch_29.jpg,1
1153,nandafuyi,10x,7-X155926-10X,7-X155926-10X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/10x/7-X155926-10X/patch_27.jpg,1
