ID,Center,Resolution,WSI,Node,Class,Image_path,Label
1176,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_31.jpg,0
1179,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_26.jpg,0
1180,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_28.jpg,0
1181,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_46.jpg,0
1182,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_44.jpg,0
1183,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_1.jpg,0
1184,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_11.jpg,0
1186,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_3.jpg,0
1187,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_12.jpg,0
1188,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_21.jpg,0
1194,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_27.jpg,0
1199,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_20.jpg,0
1202,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_35.jpg,0
1204,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_19.jpg,0
1205,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_10.jpg,0
1209,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_41.jpg,0
1212,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_2.jpg,0
1216,nandafuyi,4x,1-1015837-4X,1-1015837-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/1-1015837-4X/patch_31.jpg,0
1218,nandafuyi,4x,1-1015837-4X,1-1015837-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/1-1015837-4X/patch_6.jpg,0
1219,nandafuyi,4x,1-1015837-4X,1-1015837-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/1-1015837-4X/patch_15.jpg,0
1220,nandafuyi,4x,1-1015837-4X,1-1015837-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/1-1015837-4X/patch_26.jpg,0
1221,nandafuyi,4x,1-1015837-4X,1-1015837-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/1-1015837-4X/patch_28.jpg,0
1222,nandafuyi,4x,1-1015837-4X,1-1015837-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/1-1015837-4X/patch_11.jpg,0
1229,nandafuyi,4x,1-1015837-4X,1-1015837-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/1-1015837-4X/patch_16.jpg,0
1234,nandafuyi,4x,1-1015837-4X,1-1015837-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/1-1015837-4X/patch_27.jpg,0
