ID,Center,Resolution,WSI,Node,Class,Image_path,Label
1,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_6.jpg,1
2,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_26.jpg,1
3,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_44.jpg,1
4,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_11.jpg,1
5,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_36.jpg,1
6,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_12.jpg,1
7,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_21.jpg,1
8,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_34.jpg,1
9,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_27.jpg,1
10,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_13.jpg,1
11,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_14.jpg,1
