ID,Center,Resolution,WSI,Node,Class,Image_path,Label
1184,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_11.jpg,0
1186,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_3.jpg,0
1194,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_27.jpg,0
1203,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_37.jpg,0
1204,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_19.jpg,0
1212,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_2.jpg,0
1218,nandafuyi,4x,1-1015837-4X,1-1015837-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/1-1015837-4X/patch_6.jpg,0
1219,nandafuyi,4x,1-1015837-4X,1-1015837-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/1-1015837-4X/patch_15.jpg,0
1225,nandafuyi,4x,1-1015837-4X,1-1015837-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/1-1015837-4X/patch_12.jpg,0
1235,nandafuyi,4x,1-1015837-4X,1-1015837-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/1-1015837-4X/patch_13.jpg,0
1238,nandafuyi,4x,1-1015837-4X,1-1015837-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/1-1015837-4X/patch_5.jpg,0
1239,nandafuyi,4x,1-1015837-4X,1-1015837-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/1-1015837-4X/patch_20.jpg,0
1245,nandafuyi,4x,1-1015837-4X,1-1015837-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/1-1015837-4X/patch_10.jpg,0
1246,nandafuyi,4x,1-1015837-4X,1-1015837-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/1-1015837-4X/patch_22.jpg,0
1252,nandafuyi,4x,1-1015837-4X,1-1015837-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/1-1015837-4X/patch_4.jpg,0
1268,nandafuyi,4x,8-1256982-4X,8-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/8-1256982-4X/patch_12.jpg,0
1279,nandafuyi,4x,8-1256982-4X,8-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/8-1256982-4X/patch_23.jpg,0
1291,nandafuyi,4x,8-1256982-4X,8-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/8-1256982-4X/patch_43.jpg,0
1343,nandafuyi,4x,9-1332190-4X,9-1332190-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/9-1332190-4X/patch_15.jpg,0
1344,nandafuyi,4x,9-1332190-4X,9-1332190-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/9-1332190-4X/patch_26.jpg,0
1346,nandafuyi,4x,9-1332190-4X,9-1332190-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/9-1332190-4X/patch_44.jpg,0
1348,nandafuyi,4x,9-1332190-4X,9-1332190-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/9-1332190-4X/patch_36.jpg,0
1352,nandafuyi,4x,9-1332190-4X,9-1332190-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/9-1332190-4X/patch_45.jpg,0
1353,nandafuyi,4x,9-1332190-4X,9-1332190-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/9-1332190-4X/patch_34.jpg,0
