ID,Resolution,WSI,Class,Image_path
1,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_30.jpg
2,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_68.jpg
3,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_76.jpg
4,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_87.jpg
5,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_21.jpg
6,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_45.jpg
7,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_56.jpg
8,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_85.jpg
9,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_61.jpg
10,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_6.jpg
11,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_35.jpg
12,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_36.jpg
13,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_41.jpg
14,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_4.jpg
15,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_43.jpg
16,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_27.jpg
17,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_39.jpg
18,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_52.jpg
19,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_73.jpg
20,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_3.jpg
21,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_32.jpg
22,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_86.jpg
23,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_26.jpg
24,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_47.jpg
25,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_8.jpg
26,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_15.jpg
27,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_57.jpg
28,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_58.jpg
29,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_66.jpg
30,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_72.jpg
31,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_19.jpg
32,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_18.jpg
33,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_0.jpg
34,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_34.jpg
35,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_74.jpg
36,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_28.jpg
37,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_48.jpg
38,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_40.jpg
39,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_11.jpg
40,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_65.jpg
41,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_20.jpg
42,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_13.jpg
43,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_24.jpg
44,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_1.jpg
45,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_46.jpg
46,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_2.jpg
