ID,Resolution,WSI,Node,Class,Image_path,Label
8028,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-2,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-2/x=98040_y=60628_w=3221_h=2398/patch_91.jpg,1
8032,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-2,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-2/x=98040_y=60628_w=3221_h=2398/patch_78.jpg,1
8033,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-2,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-2/x=98040_y=60628_w=3221_h=2398/patch_88.jpg,1
8034,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-2,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-2/x=98040_y=60628_w=3221_h=2398/patch_75.jpg,1
8035,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-2,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-2/x=98040_y=60628_w=3221_h=2398/patch_90.jpg,1
8037,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-2,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-2/x=98040_y=60628_w=3221_h=2398/patch_89.jpg,1
8043,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_28.jpg,1
8044,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_73.jpg,1
8045,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_17.jpg,1
8048,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_16.jpg,1
8050,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_29.jpg,1
8053,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_39.jpg,1
8054,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_50.jpg,1
8055,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_41.jpg,1
8056,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_52.jpg,1
8057,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_51.jpg,1
8058,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_40.jpg,1
8059,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_38.jpg,1
8062,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_87.jpg,1
8063,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_15.jpg,1
8064,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_26.jpg,1
8066,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_91.jpg,1
8067,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_28.jpg,1
8069,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_77.jpg,1
8070,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_1.jpg,1
8071,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_101.jpg,1
8072,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_3.jpg,1
8073,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_54.jpg,1
8076,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_17.jpg,1
8080,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_16.jpg,1
8081,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_18.jpg,1
8083,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_63.jpg,1
8084,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_42.jpg,1
8085,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_27.jpg,1
8086,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_65.jpg,1
8088,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_66.jpg,1
8089,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_14.jpg,1
8090,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_78.jpg,1
8092,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_100.jpg,1
8093,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-4,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-4/x=107140_y=49636_w=3221_h=2398/patch_88.jpg,1
