ID,Resolution,WSI,Node,Class,Image_path,Label
12687,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_38.jpg,0
12688,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_62.jpg,0
12689,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_31.jpg,0
12690,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_47.jpg,0
12691,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_84.jpg,0
12692,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_70.jpg,0
12693,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_7.jpg,0
12694,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_6.jpg,0
12695,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_8.jpg,0
12696,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_82.jpg,0
12697,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_87.jpg,0
12698,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_15.jpg,0
12699,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_26.jpg,0
12700,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_98.jpg,0
12701,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_61.jpg,0
12702,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_58.jpg,0
12703,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_91.jpg,0
12704,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_92.jpg,0
12705,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_28.jpg,0
12706,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_73.jpg,0
12707,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_77.jpg,0
12708,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_105.jpg,0
12709,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_95.jpg,0
12710,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_46.jpg,0
12711,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_44.jpg,0
12712,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_1.jpg,0
12713,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_11.jpg,0
12714,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_36.jpg,0
12715,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_101.jpg,0
12716,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_81.jpg,0
12717,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_3.jpg,0
12718,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_54.jpg,0
12719,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_12.jpg,0
12720,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_104.jpg,0
12721,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_55.jpg,0
12722,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_80.jpg,0
12723,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_86.jpg,0
12724,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_17.jpg,0
12725,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_74.jpg,0
12726,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_49.jpg,0
12727,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_25.jpg,0
12728,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_56.jpg,0
12729,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_21.jpg,0
12730,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_45.jpg,0
12731,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_16.jpg,0
12732,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_60.jpg,0
12733,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_94.jpg,0
12734,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_34.jpg,0
12735,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_18.jpg,0
12736,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_29.jpg,0
12737,10x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,ffpe_normal,thyroid-cut_patch_use/normal-10X/2023-03-06_11_19_08/node-1/x=33790_y=5579_w=3298_h=2490/patch_63.jpg,0
