ID,Resolution,WSI,Node,Class,Image_path,Label
8028,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-2,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-2/x=98040_y=60628_w=3221_h=2398/patch_91.jpg,1
8029,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-2,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-2/x=98040_y=60628_w=3221_h=2398/patch_92.jpg,1
8030,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-2,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-2/x=98040_y=60628_w=3221_h=2398/patch_77.jpg,1
8031,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-2,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-2/x=98040_y=60628_w=3221_h=2398/patch_95.jpg,1
8032,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-2,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-2/x=98040_y=60628_w=3221_h=2398/patch_78.jpg,1
8033,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-2,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-2/x=98040_y=60628_w=3221_h=2398/patch_88.jpg,1
8034,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-2,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-2/x=98040_y=60628_w=3221_h=2398/patch_75.jpg,1
8035,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-2,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-2/x=98040_y=60628_w=3221_h=2398/patch_90.jpg,1
8036,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-2,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-2/x=98040_y=60628_w=3221_h=2398/patch_76.jpg,1
8037,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-2,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-2/x=98040_y=60628_w=3221_h=2398/patch_89.jpg,1
8038,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_38.jpg,1
8039,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_62.jpg,1
8040,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_15.jpg,1
8041,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_26.jpg,1
8042,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_61.jpg,1
8043,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_28.jpg,1
8044,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_73.jpg,1
8045,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_17.jpg,1
8046,10x,N168229-17.182023-03-06_12_22_18,N168229-17.182023-03-06_12_22_18-node-3,ffpe_micro,thyroid-cut_patch_use/micro-10X/N168229-17.182023-03-06_12_22_18/node-3/x=105521_y=58731_w=3221_h=2398/patch_74.jpg,1
