ID,Resolution,WSI,Node,Class,Image_path
39469,10x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-10X/tumor_011/1_x=73839_y=106851_w=2918_h=2002/patch_54.jpg
39811,10x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-10X/tumor_011/1_x=76209_y=109535_w=2918_h=2002/patch_37.jpg
39449,10x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-10X/tumor_011/1_x=73839_y=106851_w=2918_h=2002/patch_38.jpg
39513,10x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-10X/tumor_011/1_x=73839_y=106851_w=2918_h=2002/patch_53.jpg
39761,10x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-10X/tumor_011/1_x=76209_y=109535_w=2918_h=2002/patch_7.jpg
40021,10x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-10X/tumor_011/1_x=57581_y=151607_w=2918_h=2002/patch_24.jpg
39420,10x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-10X/tumor_011/1_x=55910_y=105481_w=2918_h=2002/patch_75.jpg
39516,10x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-10X/tumor_011/1_x=73839_y=106851_w=2918_h=2002/patch_52.jpg
39667,10x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-10X/tumor_011/1_x=61058_y=151311_w=2918_h=2002/patch_53.jpg
39645,10x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-10X/tumor_011/1_x=61058_y=151311_w=2918_h=2002/patch_23.jpg
39288,10x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-10X/tumor_011/1_x=77693_y=114446_w=2918_h=2002/patch_0.jpg
39453,10x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-10X/tumor_011/1_x=73839_y=106851_w=2918_h=2002/patch_70.jpg
39675,10x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-10X/tumor_011/1_x=61058_y=151311_w=2918_h=2002/patch_32.jpg
40031,10x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-10X/tumor_011/1_x=57581_y=151607_w=2918_h=2002/patch_4.jpg
39481,10x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-10X/tumor_011/1_x=73839_y=106851_w=2918_h=2002/patch_34.jpg
39971,10x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-10X/tumor_011/1_x=57581_y=151607_w=2918_h=2002/patch_26.jpg
39673,10x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-10X/tumor_011/1_x=61058_y=151311_w=2918_h=2002/patch_51.jpg
